,Manual_Genes
7SK,False
7SK-1,False
7SK-2,False
7SK.1,False
7SK.2,False
A1BG,False
A1BG-AS1,False
A1CF,False
A2M,True
A2M-AS1,False
A2ML1,False
A2ML1-AS1,False
A3GALT2,False
A4GALT,False
A4GNT,False
AAAS,False
AACS,False
AADAC,False
AADACL2,False
AADACL2-AS1,False
AADACL3,False
AADACL4,False
AADAT,False
AAED1,False
AAGAB,False
AAK1,False
AAMDC,False
AAMP,False
AANAT,False
AAR2,False
AARD,False
AARS,False
AARS1,False
AARS2,False
AARSD1,False
AASDH,False
AASDHPPT,False
AASS,False
AATBC,False
AATF,False
AATK,False
ABALON,False
ABAT,False
ABCA1,True
ABCA10,False
ABCA12,False
ABCA13,False
ABCA2,False
ABCA3,False
ABCA4,False
ABCA5,True
ABCA6,True
ABCA7,False
ABCA8,False
ABCA9,False
ABCA9-AS1,False
ABCB1,True
ABCB10,False
ABCB11,False
ABCB4,False
ABCB5,False
ABCB6,False
ABCB7,False
ABCB8,False
ABCB9,False
ABCC1,False
ABCC10,False
ABCC11,False
ABCC12,False
ABCC2,False
ABCC3,True
ABCC4,False
ABCC5,False
ABCC5-AS1,False
ABCC6,False
ABCC8,True
ABCC9,True
ABCD1,False
ABCD2,False
ABCD3,False
ABCD4,False
ABCE1,False
ABCF1,False
ABCF2,False
ABCF2-1,False
ABCF3,False
ABCG1,True
ABCG2,False
ABCG4,False
ABCG5,False
ABCG8,False
ABHD1,False
ABHD10,False
ABHD11,False
ABHD11-AS1,False
ABHD12,False
ABHD12B,False
ABHD13,False
ABHD14A,False
ABHD14A-ACY1,False
ABHD14B,False
ABHD15,False
ABHD15-AS1,False
ABHD16A,False
ABHD16B,False
ABHD17A,False
ABHD17B,False
ABHD17C,True
ABHD18,False
ABHD2,True
ABHD3,False
ABHD4,False
ABHD5,True
ABHD6,False
ABHD8,False
ABI1,False
ABI2,False
ABI3,False
ABI3BP,True
ABITRAM,False
ABL1,False
ABL2,True
ABLIM1,True
ABLIM2,False
ABLIM3,False
ABO,False
ABR,True
ABRA,False
ABRACL,False
ABRAXAS1,False
ABRAXAS2,False
ABT1,False
ABTB1,False
ABTB2,False
AC000003.2,False
AC000032.1,False
AC000032.2,False
AC000036.1,False
AC000050.1,False
AC000058.1,False
AC000061.1,False
AC000065.1,False
AC000065.2,False
AC000067.1,False
AC000068.1,False
AC000068.10,False
AC000068.2,False
AC000068.3,False
AC000068.5,False
AC000068.9,False
